web_name,name,code,22_FPL_code,fbref_id
Tosin,Fulham,109646,109646,c81d773d
Vinícius,Fulham,245824,245824,8b529245
Wilson,Fulham,153682,153682,c6dc9ecd
Raúl,Fulham,102057,102057,b561db50
Willian,Fulham,47431,47431,8b9ebd03
Bassey,Fulham,232892,,a36524bf
Adrián,Liverpool,60706,60706,f76e6b4e
Alexander-Arnold,Liverpool,169187,169187,cd1acf9d
Alisson,Liverpool,116535,116535,7a2e46a8
Bajcetic,Liverpool,535928,535928,32e8417f
Darwin,Liverpool,447203,447203,4d77b365
Diogo J.,Liverpool,194634,194634,178ae8f8
Elliott,Liverpool,444884,444884,c8387671
Fabinho,Liverpool,116643,116643,7f3b388c
Gakpo,Liverpool,243298,243298,1971591f
Gomez,Liverpool,171287,171287,7a11550b
Henderson,Liverpool,56979,56979,935e6b8f
Jones,Liverpool,206915,206915,4fb9c88f
Kelleher,Liverpool,200720,200720,62d7ef38
Konaté,Liverpool,204716,204716,5ed9b537
Luis Díaz,Liverpool,244731,244731,4a1a9578
Mac Allister,Liverpool,243016,243016,83d074ff
Matip,Liverpool,60914,60914,b217ef29
Phillips,Liverpool,197464,197464,515ebe8d
Robertson,Liverpool,122798,122798,2e4f5f03
Salah,Liverpool,118748,118748,e342ad68
Szoboszlai,Liverpool,424876,,934e1968
Thiago,Liverpool,61558,61558,77e84962
Tsimikas,Liverpool,214285,214285,f315ca93
Van den Berg,Liverpool,444765,444765,7bf9400b
Virgil,Liverpool,97032,97032,e06683ca
Nakamba,Luton,184704,184704,de5b5570
Adebayo,Luton,174310,,0480ebc7
Andersen,Luton,208904,,f098c03e
Bell,Luton,165183,,399e9474
Berry,Luton,82738,,2aaadf33
Burke,Luton,156658,,a681b7b7
Campbell,Luton,193195,,858409be
Clark,Luton,96784,,7c5fa6cf
Doughty,Luton,244262,,bf33b257
Freeman,Luton,49083,,636b64cd
Macey,Luton,113534,,136e7649
McAtee,Luton,422303,,9.66E+93
Mendes,Luton,453537,,d90a63ec
Morris,Luton,156700,,2da834f1
Muskwe,Luton,174595,,ee2b9a18
Ogbene,Luton,229164,,788c0277
Onyedinma,Luton,168035,,387d06b2
Osho,Luton,199056,,cd889153
Pepple,Luton,490180,,94c53a55
Pereira,Luton,243532,,8aab04dc
Potts,Luton,108411,,3595affe
Rea,Luton,165152,,5c3f2f39
Shea,Luton,77818,,ee7c0a5e
Taylor,Luton,242500,,bfd3801e
Thorpe,Luton,232477,,9b1da146
Walton,Luton,207722,,3df50652
Watson,Luton,223333,,d4f63087
Woodrow,Luton,91046,,d3085b49
Giles,Luton,232351,,73b1d65b
Lockyer,Luton,108796,,37118440
Mpanzu,Luton,104047,,a9b1c319
Chong,Luton,222677,,2696b6a9
Kaboré,Luton,476369,,c066d1a5
Kaminski,Luton,54738,,1caa93a5
Akanji,Man City,211975,211975,89ac64a6
Aké,Man City,126184,126184,eaeca114
J.Alvarez,Man City,461358,461358,15ab5a2b
Bernardo,Man City,165809,165809,3eb22ec9
Bobb,Man City,477555,,eed2427e
Cancelo,Man City,121145,121145,bd6351cd
Carson,Man City,17601,17601,3e1550ee
Charles,Man City,463210,,5cc3ce65
De Bruyne,Man City,61366,61366,e46012d4
Rúben,Man City,171314,171314,31c69ef1
Doyle,Man City,220394,,5526deb1
Ederson M.,Man City,121160,121160,3bb7b8b4
Foden,Man City,209244,209244,ed1e53f3
Grealish,Man City,114283,114283,b0b4fd3e
Haaland,Man City,223094,223094,1f44ac21
Kovačić,Man City,91651,91651,79c0821a
Laporte,Man City,146941,146941,119b9a8e
R.Lewis,Man City,477064,477064,b57e066e
Mahrez,Man City,103025,103025,892d5bb1
McAtee,Man City,432714,432714,9.66E+93
Ortega Moreno,Man City,88248,88248,c1242d4e
Palmer,Man City,244851,244851,dc7f8a28
Perrone,Man City,482769,482769,53552942
Phillips,Man City,155405,155405,4f565d77
Rodrigo,Man City,220566,220566,6434f10d
Sergio Gómez,Man City,437468,437468,01e5f06e
Steffen,Man City,164484,164484,42130443
Stones,Man City,97299,97299,5eecec3d
Walker,Man City,58621,58621,86dd77d1
Gvardiol,Man City,477424,,5ad50391
Mount,Man Utd,184341,184341,9674002f
Alex Telles,Man Utd,152590,152590,e73c9bb2
Amad,Man Utd,493250,493250,9dc96f10
Antony,Man Utd,467169,467169,99127249
B.Fernandes,Man Utd,141746,141746,507c7bdf
B.Williams,Man Utd,232937,232937,5e74d6c8
Bailly,Man Utd,197365,197365,a1232f4e
Casemiro,Man Utd,61256,61256,4d224fe8
Dalot,Man Utd,216051,216051,d9565625
Eriksen,Man Utd,80607,80607,980522ec
Fernandez,Man Utd,515501,,33a68b9b
Fred,Man Utd,101582,101582,b853e0ad
Garnacho,Man Utd,493105,493105,7aa8adfe
Hannibal,Man Utd,465527,,ca22ccb0
Heaton,Man Utd,21205,21205,a6de6361
Henderson,Man Utd,172649,172649,e5a76dfe
Lindelof,Man Utd,184667,184667,f5deef4c
Maguire,Man Utd,95658,95658,d8931174
Mainoo,Man Utd,516895,516895,c6220452
Malacia,Man Utd,222690,222690,6b6c793c
Martial,Man Utd,148225,148225,8b788c01
Martinez,Man Utd,221820,221820,bac46a10
McTominay,Man Utd,195851,195851,d93c2511
Mengi,Man Utd,244856,,91748070
Pellistri,Man Utd,488404,488404,ac7e7b1c
R.Varane,Man Utd,90152,90152,9f8e9423
Rashford,Man Utd,176297,176297,a1d5bd30
Sancho,Man Utd,209243,209243,dbf053da
Shaw,Man Utd,106760,106760,9c94165b
Shoretire,Man Utd,472464,472464,00f0482f
Van de Beek,Man Utd,180184,180184,50dc94ce
Wan-Bissaka,Man Utd,214590,214590,9e525177
Onana,Man Utd,202641,,e9c0c1b2
Højlund,Man Utd,497894,,491a433d
Almirón,Newcastle,179018,179018,862a1c15
Anderson,Newcastle,215379,215379,de31038e
Ashby,Newcastle,441024,441024,b391383a
Botman,Newcastle,220237,220237,ccce7025
Bruno G.,Newcastle,208706,208706,82518f62
Burn,Newcastle,78916,78916,b2d31e83
Darlow,Newcastle,59735,59735,cde3309f
Dubravka,Newcastle,67089,67089,3a949a25
Fraser,Newcastle,90105,90105,d56543a0
Gillespie,Newcastle,81441,,012f440e
Gordon,Newcastle,232826,232826,2bd83368
Hayden,Newcastle,153127,,c951a6df
Hendrick,Newcastle,83314,83314,989d5705
Isak,Newcastle,219168,219168,8e92be30
Joelinton,Newcastle,180974,180974,c17bfb65
Krafth,Newcastle,111773,111773,77cf6852
Kuol,Newcastle,564510,564510,a8a80be7
Lascelles,Newcastle,101148,101148,450ab6fc
J.Lewis,Newcastle,194799,194799,efb9215a
Longstaff,Newcastle,180135,180135,a2b105e0
Manquillo,Newcastle,109528,109528,758dd7f0
Murphy,Newcastle,114243,114243,de112b84
Pope,Newcastle,98747,98747,4b40d9ca
Ritchie,Newcastle,56983,56983,71ef519e
Saint-Maximin,Newcastle,170137,170137,2b16cb1a
Schär,Newcastle,119471,119471,c8aa95da
Targett,Newcastle,169359,169359,e514ab62
Tonali,Newcastle,432422,,0db169ae
Trippier,Newcastle,77794,77794,21512407
Watts,Newcastle,232977,,603e4f0b
Willock,Newcastle,200089,200089,a3b03921
Wilson,Newcastle,75115,75115,c596fcb0
Karius,Newcastle,104542,104542,32e7ce92
Dummett,Newcastle,106618,106618,3fe6bd8c
Barnes,Newcastle,201666,201666,3ea50f67
Elanga,Nott'm Forest,449434,449434,2fba6108
B.Aguilera,Nott'm Forest,461682,,938fa024
Arter,Nott'm Forest,48615,48615,2f4c5a52
Aurier,Nott'm Forest,80226,80226,5c2b4f07
Awoniyi,Nott'm Forest,210156,210156,e5478b87
Biancone,Nott'm Forest,437753,437753,de40e38c
Boly,Nott'm Forest,90585,90585,a4ac4b8f
Bowler,Nott'm Forest,245830,,ea39a081
Cook,Nott'm Forest,56917,56917,3e5e4e63
Danilo,Nott'm Forest,513046,513046,a816dbfb
Dennis,Nott'm Forest,230251,230251,2c44a35d
Dräger,Nott'm Forest,173399,173399,8954fddc
Felipe,Nott'm Forest,116404,116404,51a3c4c8
Freuler,Nott'm Forest,89076,89076,98d2c2c4
Gibbs-White,Nott'm Forest,222531,222531,32f60ed8
Hennessey,Nott'm Forest,20066,20066,76eca7e2
Horvath,Nott'm Forest,168547,,3f65d5ce
Johnson,Nott'm Forest,242898,242898,0cd31129
Kouyaté,Nott'm Forest,55037,55037,8d3c902d
Laryea,Nott'm Forest,221403,221403,276fdbe4
Mangala,Nott'm Forest,179519,179519,a572e291
Mbe Soh,Nott'm Forest,242885,242885,8f534f8e
McKenna,Nott'm Forest,168281,168281,4e5a4cbc
Mighten,Nott'm Forest,244930,244930,10ec4169
Niakhaté,Nott'm Forest,199170,199170,242715
O'Brien,Nott'm Forest,243345,243345,089667a5
Ojeda,Nott'm Forest,437476,437476,60953af0
Panzo,Nott'm Forest,209035,209035,c795c408
O.Richards,Nott'm Forest,204822,204822,f9b1b7bf
G.Scarpa,Nott'm Forest,185253,185253,2964fd20
Shelvey,Nott'm Forest,50232,50232,3727dd3c
Surridge,Nott'm Forest,217331,217331,b017b770
Toffolo,Nott'm Forest,114241,114241,a105d46a
Ui-jo,Nott'm Forest,201440,,a2d873dd
Williams,Nott'm Forest,215136,215136,dd323728
Wood,Nott'm Forest,60689,60689,4e9a0555
Worrall,Nott'm Forest,208912,208912,a5212312
Yates,Nott'm Forest,204968,204968,c1fe2a48
Aina,Nott'm Forest,159506,,246d153b
Trusty,Sheffield Utd,201410,,cddf767b
Ahmedhodžić,Sheffield Utd,233821,,eab957a3
Amissah,Sheffield Utd,538206,,50fc4c0a
Baldock,Sheffield Utd,82691,,394854c4
Basham,Sheffield Utd,40386,,1aa84968
Berge,Sheffield Utd,207189,,d0b6129f
Bogle,Sheffield Utd,226182,,ae5019e6
Brewster,Sheffield Utd,195473,,30e81a88
Coulibaly,Sheffield Utd,476938,,d33e3242
Davies,Sheffield Utd,102549,,71894777
Egan,Sheffield Utd,108416,,debe38a0
Fleck,Sheffield Utd,47247,,b63e789d
Foderingham,Sheffield Utd,82143,,96cf7b61
Jebbison,Sheffield Utd,523700,,03edb878
Lowe,Sheffield Utd,155197,,7af88b33
McBurnie,Sheffield Utd,169432,,78b8ac63
Ndiaye,Sheffield Utd,440993,,5ed97752
Norrington-Davies,Sheffield Utd,443211,,ca76b087
Norwood,Sheffield Utd,79934,,43439614
Osborn,Sheffield Utd,167878,,79bc4c45
Osula,Sheffield Utd,538207,,7b355808
Robinson,Sheffield Utd,83427,,7399c7a8
Slimane,Sheffield Utd,504198,,9ade9ce1
Larouci,Sheffield Utd,432990,,0ed063d6
T.Bénie,Sheffield Utd,523957,,77816c91
Austin,Spurs,214572,214572,5e253986
Bentancur,Spurs,202993,202993,3b8674e6
Bissouma,Spurs,227127,227127,6c203af0
Bryan,Spurs,436234,436234,7b5ab7f2
Davies,Spurs,115556,115556,44781702
Dier,Spurs,93264,93264,ac861941
E.Royal,Spurs,241157,241157,df8b52a5
Forster,Spurs,40383,40383,c3e39f12
Højbjerg,Spurs,132015,132015,8b04d6c1
Kane,Spurs,78830,78830,21a66f6a
Kulusevski,Spurs,445044,445044,df3cda47
Lloris,Spurs,37915,37915,8f62b6ee
Lo Celso,Spurs,200826,,d7553721
Maddison,Spurs,172780,172780,ee38d9c5
Ndombele,Spurs,231372,,5cdddffa
Pedro Porro,Spurs,441164,441164,27d0a506
Perišić,Spurs,45034,45034,6fe90922
Reguilón,Spurs,199249,199249,3353737a
Richarlison,Spurs,212319,212319,fa031b34
Rodon,Spurs,214225,214225,8d62d31a
Romero,Spurs,221632,221632,a3d94a58
Sánchez,Spurs,173904,173904,da7b447d
Sarr,Spurs,482442,482442,feb5d972
Sessegnon,Spurs,184349,184349,6aa3e78b
Skipp,Spurs,209042,209042,6250083a
Son,Spurs,85971,85971,92e7e919
Spence,Spurs,232859,232859,9bc9a519
Tanganga,Spurs,199584,199584,e9971f2d
Udogie,Spurs,487053,,7cd520e8
Vicario,Spurs,184254,,77d6fd4d
Whiteman,Spurs,175941,,3f2587ee
Solomon,Spurs,235674,235674,886f9aac
N.Aguerd,West Ham,210494,210494,288e1e13
Antonio,West Ham,57531,57531,ac05f970
Areola,West Ham,84182,84182,2f965a72
Benrahma,West Ham,172841,172841,5a04fd92
Bowen,West Ham,178186,178186,79c84d1c
Cornet,West Ham,149519,149519,beb391dd
Coufal,West Ham,164555,164555,fdf3cb77
Coventry,West Ham,222017,222017,a5ca9127
Cresswell,West Ham,55459,55459,4f974391
Downes,West Ham,220585,220585,69fdb896
Emerson,West Ham,109533,109533,e0bc6fdc
Fabianski,West Ham,37096,37096,9328b835
P.Fornals,West Ham,217593,217593,82927de4
Ings,West Ham,84939,84939,07802f7f
Johnson,West Ham,222018,222018,9319781b
Kehrer,West Ham,201057,201057,51dbeea9
Mubama,West Ham,487837,487837,92868cb5
L.Paquetá,West Ham,224024,224024,9b6f7fd5
Scamacca,West Ham,195899,195899,8790f988
Souček,West Ham,215439,215439,6613c819
Vlašić,West Ham,180151,180151,aa8e289e
Zouma,West Ham,103192,103192,ce4246f5
Ogbonna,West Ham,40669,40669,74b2cd7e
Aït-Nouri,Wolves,448514,448514,9b398aea
Bentley,Wolves,79602,79602,68db6358
Bolla,Wolves,431960,,b6ca3ab3
Bueno,Wolves,490721,490721,bfc3b3a0
Chiquinho,Wolves,510363,510363,dc6c2f02
Cundle,Wolves,245923,245923,cc3b8e78
Dawson,Wolves,60232,60232,3e9e06cb
Fábio Silva,Wolves,449988,449988,e7aa9d7c
Guedes,Wolves,181284,181284,e6bc67d7
Hodge,Wolves,240299,240299,bd8a5d95
Hoever,Wolves,441271,,9a71e978
Hee Chan,Wolves,184754,184754,169fd162
João Gomes,Wolves,448089,448089,8b57ad2c
J.Otto,Wolves,114128,114128,e28868f3
Jordão,Wolves,428610,,41ff002d
Kalajdžić,Wolves,429414,429414,15f24fe7
Kilman,Wolves,214048,214048,d0f72bf1
King,Wolves,138001,,5791b997
Lemina,Wolves,151086,151086,2b471f99
Matheus N.,Wolves,465351,465351,e6af02e0
Neto,Wolves,247632,247632,7ba2eaa9
Podence,Wolves,200600,200600,7fcc71d8
José Sá,Wolves,149065,149065,903b6e8b
Sarabia,Wolves,88484,88484,9744ff80
Šarkić,Wolves,216208,216208,a89e7b29
N.Semedo,Wolves,200402,200402,d04b94db
Toti,Wolves,510362,510362,f0caab96
Boubacar Traore,Wolves,476502,476502,999ceb5f
Cunha,Wolves,430871,430871,dc62b55d
Doherty,Wolves,87835,87835,d557d734
