code_player,web_name,now_cost,new_team_name,element_type,minutes,points_total,goals,xg,finishing,xgfinish,xg_points,assists,xa,assist_quality,xaquality,xcsp90,xcs_points,xa_points,x_points
11948.0,Lonergan,40.0,Everton,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
17601.0,Carson,40.0,Man City,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
20066.0,Hennessey,40.0,Nottingham Forest,1.0,181.0,6.0,0.0,0.0,,,,0.0,0.0,,,0.1888,1.366912,,
21205.0,Heaton,40.0,Man Utd,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
32259.0,Randolph,40.0,Bournemouth,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
37096.0,Fabianski,45.0,West Ham,1.0,1688.0,65.0,0.0,0.0,,,,0.0,0.0,,,0.30112,20.3316224,,
40383.0,Forster,40.0,Spurs,1.0,1125.0,38.0,0.0,0.0,,,,0.0,0.0,,,0.27772,12.4974,,
40836.0,Guaita,45.0,Crystal Palace,1.0,990.0,41.0,0.0,0.0,,,,0.0,0.01,,,0.28006,11.090376,,
48615.0,Arter,45.0,Nottingham Forest,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
59735.0,Darlow,40.0,Newcastle,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
60706.0,Adrián,40.0,Liverpool,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
67089.0,Dubravka,40.0,Newcastle,1.0,156.0,11.0,0.0,0.0,,,,0.0,0.0,,,0.16072,1.0028928,,
69752.0,Neto,45.0,Bournemouth,1.0,1710.0,68.0,0.0,0.0,,,,0.0,0.02,,,0.21454,14.674536,,
79602.0,Bentley,40.0,Wolves,1.0,180.0,6.0,0.0,0.0,,,,0.0,0.0,,,0.06478,0.466416,,
80201.0,Leno,45.0,Fulham,1.0,1890.0,87.0,0.0,0.0,,,,0.0,0.0,,,0.20284,15.334704,,
81441.0,Gillespie,40.0,Newcastle,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
83543.0,Knockaert,45.0,Fulham,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
88248.0,Ortega,40.0,Man City,1.0,270.0,23.0,0.0,0.0,,,,0.0,0.0,,,0.28942,3.125736,,
104542.0,Karius,40.0,Newcastle,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
109434.0,Kongolo,40.0,Fulham,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
111234.0,Pickford,45.0,Everton,1.0,1890.0,66.0,0.0,0.0,,,,0.0,0.08,,,0.19114,14.450184,,
111782.0,Olsen,40.0,Aston Villa,1.0,135.0,8.0,0.0,0.0,,,,0.0,0.0,,,-0.0335,-0.1809,,
120721.0,Mbabu,40.0,Fulham,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.46172,0.0,,
122074.0,Bettinelli,40.0,Chelsea,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
122775.0,Sanson,45.0,Aston Villa,3.0,9.0,1.0,0.0,0.0,,,,0.0,0.0,,,-0.2324,-0.020916,,
123354.0,Hause,40.0,Aston Villa,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
128309.0,Lowe,50.0,Bournemouth,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.57638,0.0,,
133845.0,Marcondes,45.0,Bournemouth,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.1271,0.0,,
140200.0,Strakosha,40.0,Brentford,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
154296.0,Palhinha,50.0,Fulham,3.0,1693.0,32.0,0.0,1.66,,,,0.0,0.22,,,0.22858,3.8698594,,
155529.0,Rodák,40.0,Fulham,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.36196,0.0,,
156687.0,Pearson,45.0,Bournemouth,3.0,70.0,2.0,0.0,0.02,,,,0.0,0.02,,,0.16774,0.117418,,
160987.0,Gbamin,45.0,Everton,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
164484.0,Steffen,40.0,Man City,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
169593.0,Matthews,40.0,Crystal Palace,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
172649.0,Henderson,45.0,Man Utd,1.0,270.0,15.0,0.0,0.0,,,,0.0,0.0,,,0.259,2.7972,,
173399.0,Dräger,40.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
184704.0,Nakamba,45.0,Luton,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
185253.0,Scarpa,45.0,Nottingham Forest,3.0,177.0,5.0,0.0,0.23,,,,0.0,0.04,,,0.26836,0.4749972,,
197365.0,Bailly,40.0,Man Utd,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
199170.0,Niakhaté,45.0,Nottingham Forest,2.0,1003.0,18.0,0.0,0.4,,,,0.0,0.15,,,0.1771,7.105252,,
200720.0,Kelleher,40.0,Liverpool,1.0,90.0,2.0,0.0,0.0,,,,0.0,0.0,,,0.19582,0.704952,,
204727.0,Sarr,45.0,Chelsea,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
204822.0,Richards,45.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
209035.0,Panzo,40.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
209288.0,McGill,40.0,Brighton,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
212314.0,Lukic,45.0,Fulham,3.0,406.0,15.0,0.0,0.13,,,,0.0,0.16,,,0.1069,0.434014,,
214225.0,Rodon,40.0,Spurs,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
214572.0,Austin,40.0,Spurs,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
215059.0,Sánchez,45.0,Brighton,1.0,630.0,24.0,0.0,0.0,,,,0.0,0.0,,,0.3292,8.29584,,
216208.0,Šarkić,40.0,Wolves,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
217331.0,Surridge,45.0,Nottingham Forest,4.0,147.0,17.0,1.0,1.32,,,,0.0,0.0,,,0.01798,0.0,,
220307.0,Danjuma,55.0,Everton,3.0,162.0,15.0,1.0,0.84,,,,0.0,0.07,,,0.31048,0.5029776,,
220585.0,Downes,50.0,West Ham,3.0,488.0,17.0,0.0,0.18,,,,0.0,0.09,,,0.23092,1.1268896,,
221403.0,Laryea,45.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
222017.0,Coventry,45.0,West Ham,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
224068.0,Turner,40.0,Arsenal,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
229600.0,Travers,40.0,Bournemouth,1.0,180.0,5.0,0.0,0.0,,,,0.0,0.0,,,0.20986,1.510992,,
232859.0,Spence,40.0,Spurs,2.0,2.0,1.0,0.0,0.0,,,,0.0,0.0,,,-1.36964,-0.1095712,,
235448.0,Balcombe,40.0,Brentford,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
240299.0,Hodge,45.0,Wolves,3.0,36.0,2.0,0.0,0.16,,,,0.0,0.02,,,0.11626,0.0418536,,
240514.0,Scherpen,40.0,Brighton,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
242885.0,Mbe Soh,40.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
244042.0,Muniz,45.0,Fulham,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
244930.0,Mighten,45.0,Nottingham Forest,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.08264,0.0,,
245923.0,Cundle,45.0,Wolves,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
248164.0,Sinisalo,40.0,Aston Villa,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
427623.0,Richards,40.0,Crystal Palace,2.0,368.0,11.0,0.0,0.64,,,,0.0,0.05,,,0.07882,1.1602304,,
429414.0,Kalajdžić,50.0,Wolves,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.31984,0.0,,
432714.0,McAtee,45.0,Man City,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
432931.0,Francois,45.0,Fulham,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
433979.0,Archer,45.0,Aston Villa,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.42982,0.0,,
434662.0,Dervişoğlu,45.0,Brentford,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.259,0.0,,
437476.0,Ojeda,45.0,Nottingham Forest,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
437730.0,Semenyo,45.0,Bournemouth,4.0,250.0,18.0,1.0,0.36,,,,0.0,0.02,,,-0.03818,0.0,,
437753.0,Biancone,40.0,Nottingham Forest,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,-0.1622,0.0,,
440854.0,Kiwior,45.0,Arsenal,2.0,425.0,26.0,1.0,0.1,,,,0.0,0.01,,,0.28942,4.92014,,
441024.0,Ashby,40.0,Newcastle,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
444765.0,Van den Berg,40.0,Liverpool,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
444884.0,Elliott,50.0,Liverpool,3.0,637.0,25.0,0.0,1.06,,,,1.0,1.8,,,0.26602,1.6945474,,
448089.0,João Gomes,50.0,Wolves,3.0,649.0,21.0,1.0,0.3,,,,0.0,0.11,,,0.14434,0.9367666,,
450535.0,Ebiowei,45.0,Crystal Palace,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.48832,0.0,,
450541.0,Plange,45.0,Crystal Palace,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
463210.0,Charles,45.0,Man City,3.0,27.0,1.0,0.0,0.0,,,,0.0,0.0,,,0.57022,0.1539594,,
463981.0,Hill,40.0,Bournemouth,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
466117.0,Ahamada,45.0,Crystal Palace,3.0,87.0,7.0,0.0,0.15,,,,0.0,0.02,,,0.16774,0.1459338,,
469142.0,Van Hecke,40.0,Brighton,2.0,289.0,5.0,0.0,0.55,,,,0.0,0.04,,,0.12328,1.4251168,,
472464.0,Shoretire,45.0,Man Utd,4.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
476344.0,Durán,50.0,Aston Villa,4.0,126.0,11.0,0.0,0.59,,,,0.0,0.02,,,-0.03818,0.0,,
476502.0,Traoré,45.0,Wolves,3.0,25.0,2.0,0.0,0.0,,,,0.0,0.0,,,0.21454,0.053635,,
477580.0,Zabarnyi,45.0,Bournemouth,2.0,297.0,7.0,0.0,0.0,,,,0.0,0.01,,,0.2473,2.937924,,
478912.0,Chukwuemeka,45.0,Chelsea,3.0,299.0,15.0,0.0,0.24,,,,0.0,0.6,,,0.11158,0.3336242,,
479683.0,Marquinhos,45.0,Arsenal,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
480455.0,Branthwaite,40.0,Everton,2.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
481405.0,Bidstrup,45.0,Brentford,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
481624.0,Philogene-Bidace,45.0,Aston Villa,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
482442.0,Sarr,45.0,Spurs,3.0,211.0,14.0,0.0,0.06,,,,1.0,0.03,,,0.03202,0.0675622,,
482769.0,Perrone,45.0,Man City,3.0,18.0,1.0,0.0,0.0,,,,0.0,0.01,,,0.3877,0.069786,,
484658.0,Kozłowski,45.0,Brighton,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
487818.0,Whitworth,40.0,Crystal Palace,1.0,180.0,3.0,0.0,0.0,,,,0.0,0.0,,,0.36664,2.639808,,
487837.0,Mubama,45.0,West Ham,4.0,33.0,2.0,0.0,0.0,,,,0.0,0.01,,,-0.01712,0.0,,
488404.0,Pellistri,45.0,Man Utd,3.0,60.0,4.0,0.0,0.0,,,,0.0,0.02,,,0.33622,0.201732,,
490094.0,Iroegbunam,45.0,Aston Villa,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
493250.0,Amad,45.0,Man Utd,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
503300.0,Cox,40.0,Brentford,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
509416.0,Ayari,45.0,Brighton,3.0,65.0,3.0,0.0,0.02,,,,0.0,0.3,,,0.13966,0.090779,,
516895.0,Mainoo,45.0,Man Utd,3.0,10.0,1.0,0.0,0.0,,,,0.0,0.07,,,0.0835,0.00835,,
532605.0,Andrey Santos,45.0,Chelsea,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
564510.0,Kuol,45.0,Newcastle,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
591357.0,Trevitt,45.0,Brentford,3.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.61,0.0,,
232653.0,Ramsey,60.0,Aston Villa,3.0,1614.0,88.0,4.0,3.96,1.2765957446808511,5.05531914893617,25.27659574468085,5.0,2.33,1.8181818181818181,4.236363636363636,0.28708,4.6334712,16.945454545454545,79.1355214901354
144485.0,Toney,80.0,Brentford,4.0,1513.0,82.0,8.0,9.15,1.0447761194029852,9.559701492537314,38.23880597014926,1.0,2.32,1.0975609756097562,2.546341463414634,0.29878,0.0,10.185365853658537,78.68417182380779
230046.0,Douglas Luiz,55.0,Aston Villa,3.0,1906.0,100.0,5.0,2.55,1.4545454545454546,3.709090909090909,18.545454545454543,4.0,2.04,1.9298245614035088,3.936842105263158,0.30112,5.7393472,15.747368421052633,78.15217016650718
103025.0,Mahrez,75.0,Man City,3.0,1368.0,90.0,4.0,3.63,1.2658227848101267,4.59493670886076,22.974683544303797,9.0,3.67,1.4383561643835616,5.278767123287671,0.40876,5.5918368,21.115068493150684,77.04158883745448
243016.0,Mac Allister,60.0,Liverpool,3.0,1626.0,78.0,5.0,8.46,0.6611570247933884,5.593388429752066,27.96694214876033,2.0,3.14,0.5952380952380952,1.869047619047619,0.31516,5.1245016,7.476190476190476,73.0876342249508
84450.0,Xhaka,60.0,Arsenal,3.0,1646.0,84.0,4.0,3.1,1.3432835820895521,4.164179104477612,20.82089552238806,4.0,2.24,1.4473684210526316,3.2421052631578946,0.3526,5.803796,12.968421052631578,72.51311257501963
51927.0,Mee,50.0,Brentford,2.0,1881.0,79.0,1.0,1.95,1.038961038961039,2.025974025974026,12.155844155844155,1.0,0.37,2.0,0.74,0.31282,23.5365768,2.96,70.38827675584416
195546.0,Buendía,60.0,Aston Villa,3.0,1599.0,85.0,4.0,3.63,0.9473684210526315,3.4389473684210525,17.194736842105264,3.0,3.03,1.038961038961039,3.148051948051948,0.28942,4.6278258,12.592207792207793,66.39477043431306
433154.0,McNeil,55.0,Everton,3.0,1709.0,88.0,5.0,2.9,1.3636363636363635,3.9545454545454546,19.772727272727273,4.0,4.08,0.5454545454545454,2.2254545454545456,0.1771,3.026639,8.901818181818182,65.88118445454545
209036.0,Guéhi,45.0,Crystal Palace,2.0,1980.0,60.0,1.0,1.16,0.7692307692307693,0.8923076923076924,5.3538461538461535,0.0,0.71,0.7692307692307693,0.5461538461538461,0.31516,24.960672,2.1846153846153844,65.85896553846153
208706.0,Bruno Guimarães,60.0,Newcastle,3.0,1554.0,47.0,1.0,1.95,1.5517241379310345,3.0258620689655173,15.129310344827587,2.0,2.73,1.1764705882352942,3.211764705882353,0.38068,5.9157672,12.847058823529412,64.972136368357
109345.0,March,65.0,Brighton,3.0,1345.0,89.0,5.0,4.31,0.8333333333333334,3.591666666666667,17.958333333333332,5.0,3.67,0.9090909090909091,3.3363636363636364,0.31984,4.301848,13.345454545454546,62.50563587878788
200089.0,Willock,55.0,Newcastle,3.0,1297.0,61.0,1.0,4.29,0.9923664122137404,4.257251908396946,21.286259541984734,5.0,2.21,1.1320754716981132,2.5018867924528303,0.36664,4.7553208,10.007547169811321,61.989127511796056
153133.0,Iwobi,55.0,Everton,3.0,1867.0,64.0,1.0,1.53,0.9803921568627451,1.5,7.5,3.0,2.66,1.25,3.325,0.19582,3.6559594,13.3,61.7959594
168991.0,Billing,55.0,Bournemouth,3.0,1531.0,64.0,3.0,3.31,1.4583333333333333,4.827083333333333,24.135416666666668,1.0,1.8,0.4,0.72,0.23326,3.5712106,2.88,61.206627266666665
220566.0,Rodri,55.0,Man City,3.0,1609.0,60.0,1.0,2.16,1.2345679012345678,2.6666666666666665,13.333333333333334,3.0,1.53,1.3157894736842104,2.013157894736842,0.42748,6.8781532,8.052631578947368,60.4441181122807
244723.0,Mitchell,45.0,Crystal Palace,2.0,1881.0,60.0,0.0,0.52,0.5555555555555556,0.28888888888888886,1.7333333333333334,0.0,0.6,1.7857142857142858,1.0714285714285714,0.29644,22.3041456,4.285714285714286,60.36715681904762
172841.0,Benrahma,60.0,West Ham,3.0,1134.0,63.0,3.0,3.77,0.9821428571428571,3.7026785714285713,18.513392857142858,2.0,2.28,1.6666666666666667,3.8000000000000003,0.27538,3.1228092,15.200000000000001,59.516202057142856
199798.0,Konsa,45.0,Aston Villa,2.0,1971.0,76.0,0.0,0.62,0.7692307692307693,0.47692307692307695,2.8615384615384616,0.0,0.33,0.0,0.0,0.28942,22.8178728,0.0,59.39494306153846
132015.0,Højbjerg,55.0,Spurs,3.0,1797.0,52.0,0.0,0.79,1.6326530612244898,1.2897959183673469,6.448979591836735,3.0,1.65,1.6417910447761195,2.708955223880597,0.30814,5.5372758,10.835820895522389,58.76207628735912
17761.0,Tarkowski,45.0,Everton,2.0,1890.0,61.0,1.0,2.15,0.3448275862068966,0.7413793103448276,4.448275862068965,1.0,0.97,0.9375,0.909375,0.19348,14.627088,3.6375,56.856091862068965
167074.0,Tete,45.0,Fulham,2.0,1681.0,59.0,1.0,0.46,1.4285714285714286,0.6571428571428571,3.942857142857143,1.0,1.07,1.8181818181818181,1.9454545454545455,0.22624,15.2123776,7.781818181818182,56.753958524675326
47431.0,Willian,55.0,Fulham,3.0,1393.0,80.0,4.0,1.46,1.0714285714285714,1.5642857142857143,7.821428571428571,5.0,2.3,1.8518518518518519,4.2592592592592595,0.26836,3.7382548,17.037037037037038,56.45672040846561
121599.0,A.Doucouré,55.0,Everton,3.0,1337.0,66.0,5.0,2.49,1.3432835820895521,3.344776119402985,16.723880597014926,2.0,1.46,1.836734693877551,2.6816326530612247,0.16774,2.2426838,10.726530612244899,56.43309500925982
180974.0,Joelinton,60.0,Newcastle,3.0,1421.0,63.0,4.0,4.56,0.8609271523178808,3.9258278145695362,19.629139072847682,2.0,0.56,1.3333333333333333,0.7466666666666667,0.35494,5.0436974,2.986666666666667,56.07950313951435
80146.0,J.Ayew,55.0,Crystal Palace,3.0,1644.0,64.0,3.0,1.93,0.975609756097561,1.8829268292682926,9.414634146341463,2.0,1.49,1.5,2.235,0.28942,4.7580648,8.94,55.99269894634146
224024.0,Paquetá,60.0,West Ham,3.0,1395.0,71.0,4.0,2.97,0.8823529411764706,2.6205882352941177,13.102941176470589,3.0,2.0,1.3043478260869565,2.608695652173913,0.28006,3.906837,10.434782608695652,55.34456078516624
207283.0,Jensen,55.0,Brentford,3.0,1554.0,81.0,4.0,1.67,1.0204081632653061,1.7040816326530612,8.520408163265307,3.0,2.94,0.8974358974358975,2.6384615384615384,0.3058,4.752132,10.553846153846154,54.90638631711146
221632.0,Romero,45.0,Spurs,2.0,1706.0,45.0,0.0,0.82,0.5263157894736842,0.43157894736842106,2.5894736842105264,2.0,0.62,1.0,0.62,0.3058,20.867792,2.48,54.840317684210525
204480.0,Rice,55.0,Arsenal,3.0,1742.0,67.0,3.0,0.98,1.5384615384615385,1.5076923076923077,7.538461538461538,1.0,1.13,1.4285714285714286,1.6142857142857143,0.29878,5.2047476,6.457142857142857,54.0403519956044
214048.0,Kilman,45.0,Wolves,2.0,1777.0,65.0,0.0,0.74,0.29411764705882354,0.21764705882352942,1.3058823529411765,1.0,0.36,1.6666666666666667,0.6,0.24964,17.7444112,2.4,52.554190752941174
210494.0,Aguerd,45.0,West Ham,2.0,1519.0,56.0,2.0,2.17,0.8695652173913043,1.8869565217391304,11.321739130434782,0.0,0.12,0.0,0.0,0.2356,14.315056,0.0,52.43803113043478
45034.0,Perišić,50.0,Spurs,2.0,1182.0,48.0,1.0,1.54,0.37037037037037035,0.5703703703703704,3.422222222222222,4.0,2.47,1.5384615384615385,3.8000000000000003,0.2707,12.798696,15.200000000000001,51.861244222222226
61256.0,Casemiro,55.0,Man Utd,3.0,1234.0,47.0,3.0,2.75,1.1428571428571428,3.142857142857143,15.714285714285715,1.0,2.3,0.7692307692307693,1.7692307692307692,0.31984,3.9468256,7.076923076923077,51.41803439120879
122806.0,McGinn,55.0,Aston Villa,3.0,1547.0,60.0,1.0,1.16,1.129032258064516,1.3096774193548386,6.548387096774193,4.0,1.87,1.2,2.244,0.31516,4.8755252,8.976,51.339912296774195
152551.0,Lerma,50.0,Crystal Palace,3.0,1722.0,56.0,3.0,1.35,1.8518518518518519,2.5,12.5,0.0,1.98,0.0,0.0,0.21688,3.7346736,0.0,50.6746736
153366.0,Reed,50.0,Fulham,3.0,1540.0,58.0,1.0,0.95,1.5,1.425,7.125,3.0,1.23,1.875,2.30625,0.21454,3.303916,9.225,50.453916
486672.0,Caicedo,50.0,Brighton,3.0,1802.0,45.0,0.0,0.77,0.8695652173913043,0.6695652173913044,3.347826086956522,1.0,1.52,0.9090909090909091,1.3818181818181818,0.30112,5.4261824,5.527272727272727,50.34128121422925
156689.0,Andreas,55.0,Fulham,3.0,1282.0,54.0,2.0,4.12,0.45454545454545453,1.8727272727272728,9.363636363636363,4.0,2.03,1.5,3.045,0.23794,3.0503908,12.18,50.23402716363636
200402.0,Semedo,45.0,Wolves,2.0,1804.0,55.0,0.0,0.48,0.35714285714285715,0.17142857142857143,1.0285714285714285,0.0,0.56,0.6818181818181818,0.38181818181818183,0.20986,15.1434976,1.5272727272727273,49.99346735584415
169528.0,Robinson,45.0,Fulham,2.0,1800.0,60.0,0.0,0.05,0.0,0.0,0.0,2.0,0.93,0.3225806451612903,0.3,0.23326,16.79472,1.2,49.79604
174874.0,Andersen,45.0,Crystal Palace,2.0,1432.0,35.0,0.0,0.87,0.5555555555555556,0.48333333333333334,2.9,0.0,0.71,1.2903225806451613,0.9161290322580645,0.33622,19.2586816,3.664516129032258,49.648527329032255
60232.0,Dawson,45.0,Wolves,2.0,1504.0,60.0,1.0,1.04,0.9836065573770492,1.022950819672131,6.137704918032787,0.0,0.15,1.5384615384615385,0.23076923076923078,0.25666,15.4406656,0.9230769230769231,48.72128104110971
